"operationAreaCode","companyReferenceCode","companyName"
1,37,"GATO PRETO"
1,38,"SANTA BRIGIDA"
1,232,"Spencer"
1,235,"Norte Buss S.A."
2,92,"SAMBAIBA"
2,232,"Spencer"
2,235,"Norte Buss S.A."
3,50,"VIAÇÃO METRÓPOLE"
3,218,"TRANSUNIÃO"
3,237,"UPBUS S.A."
4,80,"AMBIENTAL S.A"
4,82,"Express Transportes"
4,224,"Pêssego"
4,233,"Allibus"
5,51,"VIA SUDESTE"
5,218,"TRANSUNIÃO"
5,236,"MOVEBUSS"
6,53,"VIAÇÃO GRAJAÚ"
6,81,"MOBIBRASIL"
6,228,"Transwolff"
6,229,"A2 Transportes"
7,50,"VIAÇÃO METRÓPOLE"
7,55,"KBPX"
7,80,"AMBIENTAL S.A"
7,95,"GATUSA"
7,228,"Transwolff"
8,37,"GATO PRETO"
8,89,"TRANSPPASS"
8,222,"ALFA RODOBUS"
8,230,"Transcap"